country,nuts_2,cases,deaths,datetime
PL,lubuskie,118,0,2020-06-01T00:00:00
PL,małopolskie,1226,40,2020-06-01T00:00:00
PL,łódzkie,1553,66,2020-06-01T00:00:00
PL,warmińsko-mazurskie,179,1,2020-06-01T00:00:00
PL,wielkopolskie,2154,153,2020-06-01T00:00:00
PL,dolnośląskie,2600,104,2020-06-01T00:00:00
PL,mazowieckie,3581,264,2020-06-01T00:00:00
PL,podkarpackie,387,35,2020-06-01T00:00:00
PL,podlaskie,453,9,2020-06-01T00:00:00
PL,świętokrzyskie,483,22,2020-06-01T00:00:00
PL,lubelskie,495,15,2020-06-01T00:00:00
PL,zachodniopomorskie,536,19,2020-06-01T00:00:00
PL,pomorskie,556,35,2020-06-01T00:00:00
PL,kujawsko-pomorskie,593,47,2020-06-01T00:00:00
PL,opolskie,651,47,2020-06-01T00:00:00
PL,śląskie,8422,208,2020-06-01T00:00:00
