country,nuts_2,cases,deaths,datetime
PL,lubuskie,122,0,2020-06-04T00:00:00
PL,małopolskie,1272,40,2020-06-04T00:00:00
PL,łódzkie,1667,74,2020-06-04T00:00:00
PL,warmińsko-mazurskie,179,1,2020-06-04T00:00:00
PL,wielkopolskie,2212,154,2020-06-04T00:00:00
PL,dolnośląskie,2652,112,2020-06-04T00:00:00
PL,mazowieckie,3688,279,2020-06-04T00:00:00
PL,podkarpackie,388,36,2020-06-04T00:00:00
PL,podlaskie,474,9,2020-06-04T00:00:00
PL,lubelskie,503,15,2020-06-04T00:00:00
PL,świętokrzyskie,507,22,2020-06-04T00:00:00
PL,zachodniopomorskie,548,19,2020-06-04T00:00:00
PL,pomorskie,559,35,2020-06-04T00:00:00
PL,kujawsko-pomorskie,596,47,2020-06-04T00:00:00
PL,opolskie,689,49,2020-06-04T00:00:00
PL,śląskie,8770,225,2020-06-04T00:00:00
