country,nuts_2,cases,deaths,datetime
PL,lubuskie,104,0,2020-05-25T00:00:00
PL,małopolskie,1176,40,2020-05-25T00:00:00
PL,łódzkie,1347,58,2020-05-25T00:00:00
PL,warmińsko-mazurskie,175,1,2020-05-25T00:00:00
PL,wielkopolskie,2039,145,2020-05-25T00:00:00
PL,dolnośląskie,2433,96,2020-05-25T00:00:00
PL,mazowieckie,3217,247,2020-05-25T00:00:00
PL,podkarpackie,378,35,2020-05-25T00:00:00
PL,świętokrzyskie,386,20,2020-05-25T00:00:00
PL,podlaskie,421,9,2020-05-25T00:00:00
PL,lubelskie,444,15,2020-05-25T00:00:00
PL,zachodniopomorskie,523,19,2020-05-25T00:00:00
PL,pomorskie,536,30,2020-05-25T00:00:00
PL,kujawsko-pomorskie,593,45,2020-05-25T00:00:00
PL,opolskie,597,45,2020-05-25T00:00:00
PL,śląskie,7071,191,2020-05-25T00:00:00
