country,nuts_2,cases,deaths,datetime
PL,lubuskie,111,0,2020-05-27T00:00:00
PL,małopolskie,1180,40,2020-05-27T00:00:00
PL,łódzkie,1384,62,2020-05-27T00:00:00
PL,warmińsko-mazurskie,179,1,2020-05-27T00:00:00
PL,wielkopolskie,2117,147,2020-05-27T00:00:00
PL,dolnośląskie,2497,101,2020-05-27T00:00:00
PL,mazowieckie,3359,256,2020-05-27T00:00:00
PL,podkarpackie,378,35,2020-05-27T00:00:00
PL,świętokrzyskie,404,21,2020-05-27T00:00:00
PL,podlaskie,432,9,2020-05-27T00:00:00
PL,lubelskie,471,15,2020-05-27T00:00:00
PL,zachodniopomorskie,527,19,2020-05-27T00:00:00
PL,pomorskie,546,32,2020-05-27T00:00:00
PL,kujawsko-pomorskie,595,46,2020-05-27T00:00:00
PL,opolskie,603,47,2020-05-27T00:00:00
PL,śląskie,7520,194,2020-05-27T00:00:00
