country,nuts_2,cases,deaths,datetime
PL,śląskie,10156,252,2020-06-10T00:00:00
PL,lubuskie,129,0,2020-06-10T00:00:00
PL,małopolskie,1442,40,2020-06-10T00:00:00
PL,warmińsko-mazurskie,181,1,2020-06-10T00:00:00
PL,łódzkie,2129,93,2020-06-10T00:00:00
PL,wielkopolskie,2305,159,2020-06-10T00:00:00
PL,dolnośląskie,2737,122,2020-06-10T00:00:00
PL,mazowieckie,4033,285,2020-06-10T00:00:00
PL,podkarpackie,407,38,2020-06-10T00:00:00
PL,lubelskie,520,16,2020-06-10T00:00:00
PL,podlaskie,542,9,2020-06-10T00:00:00
PL,zachodniopomorskie,564,19,2020-06-10T00:00:00
PL,świętokrzyskie,578,24,2020-06-10T00:00:00
PL,pomorskie,579,37,2020-06-10T00:00:00
PL,kujawsko-pomorskie,606,47,2020-06-10T00:00:00
PL,opolskie,760,49,2020-06-10T00:00:00
