country,nuts_2,cases,deaths,datetime
PL,lubuskie,108,0,2020-05-26T00:00:00
PL,małopolskie,1179,40,2020-05-26T00:00:00
PL,łódzkie,1362,61,2020-05-26T00:00:00
PL,warmińsko-mazurskie,179,1,2020-05-26T00:00:00
PL,wielkopolskie,2054,146,2020-05-26T00:00:00
PL,dolnośląskie,2465,98,2020-05-26T00:00:00
PL,mazowieckie,3283,253,2020-05-26T00:00:00
PL,podkarpackie,378,35,2020-05-26T00:00:00
PL,świętokrzyskie,399,21,2020-05-26T00:00:00
PL,podlaskie,427,9,2020-05-26T00:00:00
PL,lubelskie,449,15,2020-05-26T00:00:00
PL,zachodniopomorskie,521,19,2020-05-26T00:00:00
PL,pomorskie,541,32,2020-05-26T00:00:00
PL,kujawsko-pomorskie,594,46,2020-05-26T00:00:00
PL,opolskie,601,45,2020-05-26T00:00:00
PL,śląskie,7327,192,2020-05-26T00:00:00
