country,nuts_2,cases,deaths,datetime
PL,lubuskie,114,0,2020-05-29T00:00:00
PL,małopolskie,1190,40,2020-05-29T00:00:00
PL,łódzkie,1458,64,2020-05-29T00:00:00
PL,warmińsko-mazurskie,179,1,2020-05-29T00:00:00
PL,wielkopolskie,2138,150,2020-05-29T00:00:00
PL,dolnośląskie,2543,102,2020-05-29T00:00:00
PL,mazowieckie,3461,257,2020-05-29T00:00:00
PL,podkarpackie,382,35,2020-05-29T00:00:00
PL,świętokrzyskie,438,22,2020-05-29T00:00:00
PL,podlaskie,442,9,2020-05-29T00:00:00
PL,lubelskie,485,15,2020-05-29T00:00:00
PL,zachodniopomorskie,531,19,2020-05-29T00:00:00
PL,pomorskie,551,33,2020-05-29T00:00:00
PL,kujawsko-pomorskie,595,46,2020-05-29T00:00:00
PL,opolskie,631,47,2020-05-29T00:00:00
PL,śląskie,7826,203,2020-05-29T00:00:00
