country,nuts_2,cases,deaths,datetime
PL,lubuskie,126,0,2020-06-07T00:00:00
PL,małopolskie,1334,40,2020-06-07T00:00:00
PL,warmińsko-mazurskie,180,1,2020-06-07T00:00:00
PL,łódzkie,1888,79,2020-06-07T00:00:00
PL,wielkopolskie,2267,157,2020-06-07T00:00:00
PL,dolnośląskie,2704,117,2020-06-07T00:00:00
PL,mazowieckie,3843,285,2020-06-07T00:00:00
PL,podkarpackie,389,37,2020-06-07T00:00:00
PL,podlaskie,509,9,2020-06-07T00:00:00
PL,lubelskie,512,16,2020-06-07T00:00:00
PL,świętokrzyskie,515,22,2020-06-07T00:00:00
PL,zachodniopomorskie,554,19,2020-06-07T00:00:00
PL,pomorskie,568,36,2020-06-07T00:00:00
PL,kujawsko-pomorskie,601,47,2020-06-07T00:00:00
PL,opolskie,728,49,2020-06-07T00:00:00
PL,śląskie,9531,241,2020-06-07T00:00:00
