country,nuts_2,cases,deaths,datetime
PL,lubuskie,116,0,2020-05-31T00:00:00
PL,małopolskie,1215,40,2020-05-31T00:00:00
PL,łódzkie,1523,66,2020-05-31T00:00:00
PL,warmińsko-mazurskie,179,1,2020-05-31T00:00:00
PL,wielkopolskie,2150,153,2020-05-31T00:00:00
PL,dolnośląskie,2585,104,2020-05-31T00:00:00
PL,mazowieckie,3546,264,2020-05-31T00:00:00
PL,podkarpackie,383,35,2020-05-31T00:00:00
PL,podlaskie,449,9,2020-05-31T00:00:00
PL,świętokrzyskie,478,22,2020-05-31T00:00:00
PL,lubelskie,493,15,2020-05-31T00:00:00
PL,zachodniopomorskie,536,19,2020-05-31T00:00:00
PL,pomorskie,553,35,2020-05-31T00:00:00
PL,kujawsko-pomorskie,594,46,2020-05-31T00:00:00
PL,opolskie,643,47,2020-05-31T00:00:00
PL,śląskie,8243,208,2020-05-31T00:00:00
