country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Schaffhausen,SH,86.0,7.0,,2.0,0.0,2020-07-09
CH,Appenzell Ausserrhoden,AR,106.0,3.0,,0.0,0.0,2020-07-09
CH,Uri,UR,108.0,7.0,,0.0,,2020-07-09
CH,Glarus,GL,131.0,13.0,,0.0,,2020-07-09
CH,Zug,ZG,243.0,9.0,,2.0,0.0,2020-07-09
CH,Schwyz,SZ,356.0,23.0,,,,2020-07-09
CH,Thurgau,TG,410.0,18.0,,4.0,1.0,2020-07-09
CH,Lucerne,LU,778.0,20.0,,,,2020-07-09
CH,St. Gallen,SG,900.0,39.0,,,,2020-07-09
CH,Basel-Stadt,BS,998.0,50.0,,5.0,,2020-07-09
CH,Fribourg,FR,1259.0,85.0,,4.0,1.0,2020-07-09
CH,Aargau,AG,1361.0,47.0,,,,2020-07-09
CH,Ticino,TI,3365.0,350.0,,2.0,0.0,2020-07-09
CH,,,32685.0,1966.0,37875.0,90.0,16.0,2020-07-09
CH,Appenzell Innerrhoden,AI,,,,,,2020-07-09
CH,Berne,BE,,,,,,2020-07-09
CH,Basel-Landschaft,BL,,,,,,2020-07-09
CH,Geneva,GE,,,,,,2020-07-09
CH,Grisons,GR,,,,,,2020-07-09
CH,Jura,JU,,,,,,2020-07-09
CH,Neuchâtel,NE,,,,,,2020-07-09
CH,Nidwalden,NW,,,,,,2020-07-09
CH,Obwalden,OW,,,,,,2020-07-09
CH,Solothurn,SO,,,,,,2020-07-09
CH,Vaud,VD,,,,,,2020-07-09
CH,Valais,VS,,,,,,2020-07-09
CH,Zürich,ZH,,,,,,2020-07-09
