country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Obwalden,OW,1324.0,30.0,,8.0,,2020-12-25
CH,Nidwalden,NW,1339.0,12.0,,4.0,1.0,2020-12-25
CH,Glarus,GL,1486.0,35.0,,13.0,,2020-12-25
CH,Jura,JU,4318.0,106.0,,,,2020-12-25
CH,Zug,ZG,4627.0,63.0,,13.0,4.0,2020-12-25
CH,Schwyz,SZ,7275.0,131.0,,,,2020-12-25
CH,Grisons,GR,7714.0,134.0,,39.0,8.0,2020-12-25
CH,Basel-Stadt,BS,7735.0,136.0,,112.0,19.0,2020-12-25
CH,Solothurn,SO,10067.0,184.0,,39.0,13.0,2020-12-25
CH,Basel-Landschaft,BL,10284.0,146.0,,59.0,9.0,2020-12-25
CH,Neuchâtel,NE,11235.0,307.0,,35.0,5.0,2020-12-25
CH,Thurgau,TG,11253.0,187.0,,58.0,22.0,2020-12-25
CH,Lucerne,LU,15803.0,216.0,,,,2020-12-25
CH,Ticino,TI,22036.0,728.0,,305.0,38.0,2020-12-25
CH,Fribourg,FR,22902.0,402.0,,42.0,12.0,2020-12-25
CH,St. Gallen,SG,26116.0,,,,,2020-12-25
CH,Aargau,AG,26872.0,403.0,,133.0,37.0,2020-12-25
CH,Geneva,GE,40149.0,628.0,,120.0,13.0,2020-12-25
CH,Berne,BE,40865.0,602.0,,,,2020-12-25
CH,Zürich,ZH,65447.0,821.0,,401.0,98.0,2020-12-25
CH,,,425609.0,7231.0,275645.0,2299.0,440.0,2020-12-25
CH,Appenzell Innerrhoden,AI,,,,,,2020-12-25
CH,Appenzell Ausserrhoden,AR,,,,,,2020-12-25
CH,Schaffhausen,SH,,,,,,2020-12-25
CH,Uri,UR,,,,,,2020-12-25
CH,Vaud,VD,,,,,,2020-12-25
CH,Valais,VS,,,,,,2020-12-25
