country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Obwalden,OW,90.0,0.0,,0.0,,2020-07-28
CH,Appenzell Ausserrhoden,AR,108.0,3.0,,1.0,0.0,2020-07-28
CH,Schaffhausen,SH,109.0,7.0,,3.0,1.0,2020-07-28
CH,Uri,UR,115.0,7.0,,1.0,,2020-07-28
CH,Nidwalden,NW,128.0,3.0,,0.0,0.0,2020-07-28
CH,Glarus,GL,138.0,13.0,,1.0,,2020-07-28
CH,Jura,JU,260.0,7.0,,0.0,0.0,2020-07-28
CH,Zug,ZG,273.0,9.0,,0.0,0.0,2020-07-28
CH,Schwyz,SZ,390.0,25.0,,,,2020-07-28
CH,Thurgau,TG,455.0,18.0,,1.0,0.0,2020-07-28
CH,Solothurn,SO,521.0,18.0,,2.0,,2020-07-28
CH,Neuchâtel,NE,774.0,83.0,,1.0,0.0,2020-07-28
CH,Lucerne,LU,848.0,20.0,,6.0,4.0,2020-07-28
CH,Grisons,GR,913.0,50.0,,1.0,0.0,2020-07-28
CH,Basel-Landschaft,BL,917.0,35.0,,2.0,0.0,2020-07-28
CH,St. Gallen,SG,991.0,40.0,,,,2020-07-28
CH,Basel-Stadt,BS,1039.0,52.0,,3.0,2.0,2020-07-28
CH,Fribourg,FR,1325.0,85.0,,1.0,1.0,2020-07-28
CH,Aargau,AG,1553.0,48.0,,,,2020-07-28
CH,Berne,BE,2092.0,97.0,,,,2020-07-28
CH,Valais,VS,2127.0,153.0,,4.0,1.0,2020-07-28
CH,Ticino,TI,3424.0,350.0,,3.0,1.0,2020-07-28
CH,Zürich,ZH,4423.0,137.0,,25.0,,2020-07-28
CH,Geneva,GE,5847.0,295.0,,12.0,1.0,2020-07-28
CH,Vaud,VD,5942.0,424.0,,10.0,4.0,2020-07-28
CH,,,34827.0,1979.0,55021.0,103.0,21.0,2020-07-28
CH,Appenzell Innerrhoden,AI,,,,,,2020-07-28
