country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Appenzell Innerrhoden,AI,526.0,13.0,,26.0,,2020-11-27
CH,Uri,UR,889.0,15.0,,8.0,,2020-11-27
CH,Nidwalden,NW,902.0,9.0,,5.0,3.0,2020-11-27
CH,Glarus,GL,927.0,20.0,,6.0,,2020-11-27
CH,Obwalden,OW,949.0,18.0,,9.0,,2020-11-27
CH,Schaffhausen,SH,1745.0,31.0,,18.0,2.0,2020-11-27
CH,Zug,ZG,3227.0,28.0,,18.0,5.0,2020-11-27
CH,Schwyz,SZ,4957.0,94.0,,,,2020-11-27
CH,Basel-Stadt,BS,5197.0,75.0,,122.0,21.0,2020-11-27
CH,Solothurn,SO,5966.0,67.0,,53.0,16.0,2020-11-27
CH,Basel-Landschaft,BL,6276.0,66.0,,61.0,10.0,2020-11-27
CH,Thurgau,TG,6408.0,91.0,,35.0,20.0,2020-11-27
CH,Ticino,TI,15211.0,523.0,,318.0,39.0,2020-11-27
CH,Berne,BE,27821.0,361.0,,270.0,56.0,2020-11-27
CH,,,311021.0,4559.0,236687.0,2836.0,521.0,2020-11-27
CH,Aargau,AG,,,,,,2020-11-27
CH,Appenzell Ausserrhoden,AR,,,,,,2020-11-27
CH,Fribourg,FR,,,,,,2020-11-27
CH,Geneva,GE,,,,331.0,24.0,2020-11-27
CH,Grisons,GR,,,,,,2020-11-27
CH,Jura,JU,,,,,,2020-11-27
CH,Lucerne,LU,,,,105.0,,2020-11-27
CH,Neuchâtel,NE,,,,,,2020-11-27
CH,St. Gallen,SG,,,,,,2020-11-27
CH,Vaud,VD,,,,,,2020-11-27
CH,Valais,VS,,,,,,2020-11-27
CH,Zürich,ZH,,,,,,2020-11-27
