country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Nidwalden,NW,131.0,3.0,,0.0,0.0,2020-08-15
CH,Jura,JU,262.0,7.0,,0.0,0.0,2020-08-15
CH,Zug,ZG,312.0,9.0,,0.0,,2020-08-15
CH,Schwyz,SZ,436.0,25.0,,,,2020-08-15
CH,Thurgau,TG,523.0,19.0,,5.0,2.0,2020-08-15
CH,Neuchâtel,NE,821.0,84.0,,0.0,0.0,2020-08-15
CH,Grisons,GR,952.0,50.0,,0.0,0.0,2020-08-15
CH,Basel-Landschaft,BL,975.0,35.0,,1.0,1.0,2020-08-15
CH,Basel-Stadt,BS,1135.0,53.0,,9.0,0.0,2020-08-15
CH,Fribourg,FR,1418.0,85.0,,3.0,1.0,2020-08-15
CH,Aargau,AG,1804.0,50.0,,,,2020-08-15
CH,Valais,VS,2236.0,154.0,,6.0,1.0,2020-08-15
CH,Berne,BE,2296.0,98.0,,,,2020-08-15
CH,Zürich,ZH,5095.0,139.0,,26.0,,2020-08-15
CH,Vaud,VD,6331.0,427.0,,9.0,4.0,2020-08-15
CH,Geneva,GE,6496.0,297.0,,,,2020-08-15
CH,,,38043.0,1995.0,61887.0,117.0,19.0,2020-08-15
CH,Appenzell Innerrhoden,AI,,,,,,2020-08-15
CH,Appenzell Ausserrhoden,AR,,,,,,2020-08-15
CH,Glarus,GL,,,,,,2020-08-15
CH,Lucerne,LU,,,,,,2020-08-15
CH,Obwalden,OW,,,,,,2020-08-15
CH,St. Gallen,SG,,,,,,2020-08-15
CH,Schaffhausen,SH,,,,,,2020-08-15
CH,Solothurn,SO,,,,,,2020-08-15
CH,Ticino,TI,,,,,,2020-08-15
CH,Uri,UR,,,,,,2020-08-15
