country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Schaffhausen,SH,44.0,1.0,,10.0,3.0,2020-04-01
CH,Obwalden,OW,49.0,0.0,,6.0,,2020-04-01
CH,Glarus,GL,56.0,2.0,,5.0,,2020-04-01
CH,Uri,UR,59.0,1.0,,10.0,,2020-04-01
CH,Appenzell Ausserrhoden,AR,61.0,3.0,,,,2020-04-01
CH,Nidwalden,NW,70.0,,,9.0,2.0,2020-04-01
CH,Zug,ZG,125.0,1.0,,13.0,5.0,2020-04-01
CH,Jura,JU,145.0,0.0,,29.0,5.0,2020-04-01
CH,Schwyz,SZ,146.0,4.0,,,,2020-04-01
CH,Thurgau,TG,167.0,7.0,,,,2020-04-01
CH,Solothurn,SO,216.0,3.0,,,,2020-04-01
CH,Lucerne,LU,401.0,7.0,,57.0,12.0,2020-04-01
CH,St. Gallen,SG,414.0,7.0,,,,2020-04-01
CH,Neuchâtel,NE,420.0,24.0,,66.0,14.0,2020-04-01
CH,Fribourg,FR,525.0,23.0,,81.0,23.0,2020-04-01
CH,Aargau,AG,549.0,11.0,,94.0,27.0,2020-04-01
CH,Basel-Landschaft,BL,588.0,11.0,,86.0,17.0,2020-04-01
CH,Grisons,GR,592.0,26.0,,59.0,11.0,2020-04-01
CH,Basel-Stadt,BS,687.0,18.0,,108.0,16.0,2020-04-01
CH,Berne,BE,909.0,20.0,,115.0,26.0,2020-04-01
CH,Valais,VS,1282.0,40.0,,147.0,26.0,2020-04-01
CH,Zürich,ZH,2126.0,36.0,,203.0,,2020-04-01
CH,Ticino,TI,2195.0,132.0,,396.0,76.0,2020-04-01
CH,Geneva,GE,3174.0,77.0,12863.0,406.0,64.0,2020-04-01
CH,Vaud,VD,3916.0,121.0,,420.0,77.0,2020-04-01
CH,,,18930.0,575.0,13505.0,2328.0,404.0,2020-04-01
CH,Appenzell Innerrhoden,AI,,,,,,2020-04-01
