country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Nidwalden,NW,128.0,3.0,,0.0,0.0,2020-07-26
CH,Jura,JU,259.0,7.0,,0.0,0.0,2020-07-26
CH,Zug,ZG,271.0,9.0,,1.0,0.0,2020-07-26
CH,Schwyz,SZ,386.0,25.0,,,,2020-07-26
CH,Thurgau,TG,452.0,18.0,,1.0,0.0,2020-07-26
CH,Neuchâtel,NE,772.0,83.0,,2.0,0.0,2020-07-26
CH,Lucerne,LU,841.0,20.0,,6.0,3.0,2020-07-26
CH,Grisons,GR,909.0,50.0,,1.0,0.0,2020-07-26
CH,Basel-Landschaft,BL,914.0,35.0,,1.0,0.0,2020-07-26
CH,Basel-Stadt,BS,1036.0,52.0,,3.0,2.0,2020-07-26
CH,Fribourg,FR,1320.0,85.0,,1.0,1.0,2020-07-26
CH,Berne,BE,2072.0,97.0,,,,2020-07-26
CH,Valais,VS,2119.0,153.0,,5.0,1.0,2020-07-26
CH,Zürich,ZH,4373.0,136.0,,24.0,,2020-07-26
CH,Geneva,GE,5716.0,295.0,54379.0,10.0,,2020-07-26
CH,Vaud,VD,5895.0,424.0,,14.0,5.0,2020-07-26
CH,,,34471.0,1979.0,55021.0,109.0,21.0,2020-07-26
CH,Aargau,AG,,,,,,2020-07-26
CH,Appenzell Innerrhoden,AI,,,,,,2020-07-26
CH,Appenzell Ausserrhoden,AR,,,,,,2020-07-26
CH,Glarus,GL,,,,,,2020-07-26
CH,Obwalden,OW,,,,,,2020-07-26
CH,St. Gallen,SG,,,,,,2020-07-26
CH,Schaffhausen,SH,,,,,,2020-07-26
CH,Solothurn,SO,,,,,,2020-07-26
CH,Ticino,TI,,,,,,2020-07-26
CH,Uri,UR,,,,,,2020-07-26
