country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Uri,UR,1249.0,32.0,,10.0,,2020-12-22
CH,Schaffhausen,SH,2728.0,45.0,,18.0,3.0,2020-12-22
CH,Schwyz,SZ,6924.0,128.0,,,,2020-12-22
CH,,,407887.0,6797.0,268883.0,2576.0,448.0,2020-12-22
CH,Aargau,AG,,,,,,2020-12-22
CH,Appenzell Innerrhoden,AI,,,,,,2020-12-22
CH,Appenzell Ausserrhoden,AR,,,,,,2020-12-22
CH,Berne,BE,,,,,,2020-12-22
CH,Basel-Landschaft,BL,,,,,,2020-12-22
CH,Basel-Stadt,BS,,,,,,2020-12-22
CH,Fribourg,FR,,,,,,2020-12-22
CH,Geneva,GE,,,,,,2020-12-22
CH,Glarus,GL,,,,,,2020-12-22
CH,Grisons,GR,,,,,,2020-12-22
CH,Jura,JU,,,,,,2020-12-22
CH,Lucerne,LU,,,,,,2020-12-22
CH,Neuchâtel,NE,,,,,,2020-12-22
CH,Nidwalden,NW,,,,,,2020-12-22
CH,Obwalden,OW,,,,,,2020-12-22
CH,St. Gallen,SG,,,,,,2020-12-22
CH,Solothurn,SO,,,,,,2020-12-22
CH,Thurgau,TG,,,,,,2020-12-22
CH,Ticino,TI,,,,,,2020-12-22
CH,Vaud,VD,,,,,,2020-12-22
CH,Valais,VS,,,,,,2020-12-22
CH,Zug,ZG,,,,,,2020-12-22
CH,Zürich,ZH,,,,,,2020-12-22
