country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Nidwalden,NW,124.0,3.0,,0.0,0.0,2020-06-07
CH,Zug,ZG,202.0,9.0,,0.0,0.0,2020-06-07
CH,Jura,JU,205.0,7.0,,1.0,0.0,2020-06-07
CH,Schwyz,SZ,307.0,23.0,,,,2020-06-07
CH,Thurgau,TG,383.0,18.0,,1.0,0.0,2020-06-07
CH,Neuchâtel,NE,733.0,83.0,,1.0,0.0,2020-06-07
CH,Lucerne,LU,736.0,20.0,,,,2020-06-07
CH,Grisons,GR,828.0,49.0,,1.0,1.0,2020-06-07
CH,Basel-Landschaft,BL,845.0,35.0,,0.0,0.0,2020-06-07
CH,Basel-Stadt,BS,982.0,50.0,,4.0,3.0,2020-06-07
CH,Fribourg,FR,1168.0,84.0,,5.0,2.0,2020-06-07
CH,Berne,BE,1918.0,97.0,,5.0,0.0,2020-06-07
CH,Valais,VS,1959.0,152.0,,16.0,4.0,2020-06-07
CH,Ticino,TI,3316.0,349.0,,14.0,2.0,2020-06-07
CH,Zürich,ZH,3640.0,130.0,,7.0,,2020-06-07
CH,Geneva,GE,5222.0,292.0,,,,2020-06-07
CH,Vaud,VD,5467.0,420.0,,29.0,8.0,2020-06-07
CH,,,31012.0,1949.0,37875.0,247.0,31.0,2020-06-07
CH,Aargau,AG,,,,,,2020-06-07
CH,Appenzell Innerrhoden,AI,,,,,,2020-06-07
CH,Appenzell Ausserrhoden,AR,,,,,,2020-06-07
CH,Glarus,GL,,,,,,2020-06-07
CH,Obwalden,OW,,,,,,2020-06-07
CH,St. Gallen,SG,,,,,,2020-06-07
CH,Schaffhausen,SH,,,,,,2020-06-07
CH,Solothurn,SO,,,,,,2020-06-07
CH,Uri,UR,,,,,,2020-06-07
