country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Uri,UR,141.0,7.0,,0.0,,2020-09-22
CH,Glarus,GL,174.0,13.0,,0.0,,2020-09-22
CH,Schaffhausen,SH,185.0,8.0,,0.0,0.0,2020-09-22
CH,Zug,ZG,417.0,9.0,,1.0,,2020-09-22
CH,Thurgau,TG,692.0,19.0,,4.0,2.0,2020-09-22
CH,Solothurn,SO,816.0,18.0,,5.0,,2020-09-22
CH,Basel-Stadt,BS,1296.0,54.0,,2.0,0.0,2020-09-22
CH,Fribourg,FR,2313.0,101.0,,9.0,3.0,2020-09-22
CH,Ticino,TI,3621.0,350.0,,2.0,0.0,2020-09-22
CH,,,49805.0,2053.0,72603.0,176.0,23.0,2020-09-22
CH,Aargau,AG,,,,,,2020-09-22
CH,Appenzell Innerrhoden,AI,,,,,,2020-09-22
CH,Appenzell Ausserrhoden,AR,,,,,,2020-09-22
CH,Berne,BE,,,,,,2020-09-22
CH,Basel-Landschaft,BL,,,,,,2020-09-22
CH,Geneva,GE,,,,,,2020-09-22
CH,Grisons,GR,,,,,,2020-09-22
CH,Jura,JU,,,,,,2020-09-22
CH,Lucerne,LU,,,,,,2020-09-22
CH,Neuchâtel,NE,,,,,,2020-09-22
CH,Nidwalden,NW,,,,,,2020-09-22
CH,Obwalden,OW,,,,,,2020-09-22
CH,St. Gallen,SG,,,,,,2020-09-22
CH,Schwyz,SZ,,,,,,2020-09-22
CH,Vaud,VD,,,,,,2020-09-22
CH,Valais,VS,,,,,,2020-09-22
CH,Zürich,ZH,,,,,,2020-09-22
