country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Appenzell Innerrhoden,AI,25.0,0.0,,,,2020-07-13
CH,Obwalden,OW,88.0,0.0,,0.0,,2020-07-13
CH,Schaffhausen,SH,90.0,7.0,,7.0,0.0,2020-07-13
CH,Appenzell Ausserrhoden,AR,106.0,3.0,,1.0,0.0,2020-07-13
CH,Uri,UR,109.0,7.0,,0.0,,2020-07-13
CH,Nidwalden,NW,126.0,3.0,,0.0,0.0,2020-07-13
CH,Glarus,GL,131.0,13.0,,0.0,,2020-07-13
CH,Zug,ZG,250.0,9.0,,3.0,0.0,2020-07-13
CH,Jura,JU,256.0,7.0,,1.0,0.0,2020-07-13
CH,Schwyz,SZ,363.0,23.0,,,,2020-07-13
CH,Thurgau,TG,412.0,18.0,,4.0,1.0,2020-07-13
CH,Solothurn,SO,491.0,17.0,,,,2020-07-13
CH,Lucerne,LU,793.0,20.0,,5.0,2.0,2020-07-13
CH,Grisons,GR,849.0,50.0,,3.0,0.0,2020-07-13
CH,Basel-Landschaft,BL,892.0,35.0,,3.0,0.0,2020-07-13
CH,St. Gallen,SG,919.0,39.0,,,,2020-07-13
CH,Basel-Stadt,BS,1009.0,50.0,,5.0,,2020-07-13
CH,Fribourg,FR,1274.0,85.0,,1.0,1.0,2020-07-13
CH,Aargau,AG,1394.0,47.0,,,,2020-07-13
CH,Berne,BE,1992.0,97.0,,4.0,2.0,2020-07-13
CH,Valais,VS,2092.0,153.0,,7.0,2.0,2020-07-13
CH,Ticino,TI,3375.0,350.0,,4.0,1.0,2020-07-13
CH,Zürich,ZH,4109.0,133.0,,26.0,,2020-07-13
CH,Vaud,VD,5732.0,424.0,,10.0,3.0,2020-07-13
CH,,,33074.0,1968.0,37875.0,112.0,19.0,2020-07-13
CH,Geneva,GE,,,,,,2020-07-13
CH,Neuchâtel,NE,,,,2.0,0.0,2020-07-13
