country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Schaffhausen,SH,79.0,7.0,,5.0,1.0,2020-06-08
CH,Obwalden,OW,82.0,0.0,,0.0,,2020-06-08
CH,Appenzell Ausserrhoden,AR,100.0,3.0,,0.0,0.0,2020-06-08
CH,Glarus,GL,128.0,12.0,,0.0,,2020-06-08
CH,Schwyz,SZ,307.0,23.0,,,,2020-06-08
CH,Thurgau,TG,384.0,18.0,,1.0,0.0,2020-06-08
CH,Solothurn,SO,446.0,17.0,,,,2020-06-08
CH,Lucerne,LU,736.0,20.0,,5.0,3.0,2020-06-08
CH,Basel-Landschaft,BL,845.0,35.0,,0.0,0.0,2020-06-08
CH,Basel-Stadt,BS,982.0,50.0,,,,2020-06-08
CH,Fribourg,FR,1172.0,84.0,,5.0,2.0,2020-06-08
CH,Berne,BE,1918.0,97.0,,3.0,0.0,2020-06-08
CH,Ticino,TI,3316.0,349.0,,13.0,2.0,2020-06-08
CH,Zürich,ZH,3641.0,130.0,,7.0,,2020-06-08
CH,,,30934.0,1923.0,37875.0,240.0,29.0,2020-06-08
CH,Aargau,AG,,,,,,2020-06-08
CH,Appenzell Innerrhoden,AI,,,,,,2020-06-08
CH,Geneva,GE,,,,,,2020-06-08
CH,Grisons,GR,,,,,,2020-06-08
CH,Jura,JU,,,,,,2020-06-08
CH,Neuchâtel,NE,,,,,,2020-06-08
CH,Nidwalden,NW,,,,,,2020-06-08
CH,St. Gallen,SG,,,,,,2020-06-08
CH,Uri,UR,,,,,,2020-06-08
CH,Vaud,VD,,,,,,2020-06-08
CH,Valais,VS,,,,,,2020-06-08
CH,Zug,ZG,,,,,,2020-06-08
