country,cases,deaths,deaths/100k pop.,datetime
LI,1633,18,5.2,2020-12-21T00:00:00
IS,5642,28,0.3,2020-12-21T00:00:00
MT,11714,190,7.9,2020-12-21T00:00:00
CY,17688,91,3.4,2020-12-21T00:00:00
EE,21794,174,3.2,2020-12-21T00:00:00
LV,30940,439,9.2,2020-12-21T00:00:00
FI,33162,489,1.3,2020-12-21T00:00:00
NO,42775,404,0.9,2020-12-21T00:00:00
LU,44067,440,14.7,2020-12-21T00:00:00
IE,79542,2158,1.2,2020-12-21T00:00:00
SI,105899,2368,53.3,2020-12-21T00:00:00
LT,114487,1039,14.4,2020-12-21T00:00:00
GR,131072,4172,10.9,2020-12-21T00:00:00
DK,134434,1035,2.6,2020-12-21T00:00:00
SK,151336,1555,10.3,2020-12-21T00:00:00
BG,191195,6609,25.9,2020-12-21T00:00:00
HR,195728,3257,26.6,2020-12-21T00:00:00
HU,305130,8282,23.5,2020-12-21T00:00:00
AT,336222,5216,16.8,2020-12-21T00:00:00
PT,374121,6134,11.4,2020-12-21T00:00:00
SE,384294,8163,5.2,2020-12-21T00:00:00
RO,591294,14394,10.7,2020-12-21T00:00:00
BE,627370,18766,11.3,2020-12-21T00:00:00
CZ,627523,10411,14.2,2020-12-21T00:00:00
NL,688900,10477,4.6,2020-12-21T00:00:00
PL,1202700,25397,14.0,2020-12-21T00:00:00
DE,1510652,26275,8.9,2020-12-21T00:00:00
ES,1762212,48401,3.7,2020-12-21T00:00:00
IT,1953185,68799,14.4,2020-12-21T00:00:00
GB,2040147,67401,9.2,2020-12-21T00:00:00
FR,2473354,60549,8.0,2020-12-21T00:00:00
Total,16190212,403131,,2020-12-21T00:00:00
