country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,4616,2358,45,80521,93,11,2020-11-11T09:30:00
AT,Kärnten,6231,3158,51,120698,222,17,2020-11-11T09:30:00
AT,Vorarlberg,9999,5918,57,140562,186,38,2020-11-11T09:30:00
AT,Salzburg,11631,6255,61,135958,164,22,2020-11-11T09:30:00
AT,Steiermark,17843,7397,288,262525,577,73,2020-11-11T09:30:00
AT,Tirol,20986,14362,165,340214,343,55,2020-11-11T09:30:00
AT,Niederösterreich,25429,15875,265,425309,538,66,2020-11-11T09:30:00
AT,Oberösterreich,33322,19830,234,335807,938,113,2020-11-11T09:30:00
AT,Wien,42923,28606,398,695585,658,141,2020-11-11T09:30:00
AT,,172980,103759,1564,2537179,3719,536,2020-11-11T09:30:00
