country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,553,229.2,2020-12-04T00:00:00
NO,møre og romsdal,680,256.4,2020-12-04T00:00:00
NO,troms og finnmark,863,354.7,2020-12-04T00:00:00
NO,agder,1068,347.6,2020-12-04T00:00:00
NO,trøndelag,1235,263.5,2020-12-04T00:00:00
NO,vestfold og telemark,1284,306.2,2020-12-04T00:00:00
NO,rogaland,1584,330.1,2020-12-04T00:00:00
NO,innlandet,1805,486,2020-12-04T00:00:00
NO,vestland,5166,811.6,2020-12-04T00:00:00
NO,oslo,11071,1596.4,2020-12-04T00:00:00
NO,viken,11257,907,2020-12-04T00:00:00
