country,nuts_3,cases,cases/100k pop.,datetime
NO,møre og romsdal,194,73.5,2020-09-16T00:00:00
NO,nordland,199,83.3,2020-09-16T00:00:00
NO,troms og finnmark,333,136.9,2020-09-16T00:00:00
NO,vestfold og telemark,381,91.6,2020-09-16T00:00:00
NO,agder,426,139.6,2020-09-16T00:00:00
NO,rogaland,588,123.8,2020-09-16T00:00:00
NO,innlandet,606,163.4,2020-09-16T00:00:00
NO,trøndelag,649,138.3,2020-09-16T00:00:00
NO,vestland,1524,245.1,2020-09-16T00:00:00
NO,viken,3544,286.9,2020-09-16T00:00:00
NO,oslo,3832,559.2,2020-09-16T00:00:00
