country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,620,254.5,2020-12-21T00:00:00
NO,møre og romsdal,770,286.5,2020-12-21T00:00:00
NO,troms og finnmark,930,378.9,2020-12-21T00:00:00
NO,agder,1154,370.4,2020-12-21T00:00:00
NO,trøndelag,1616,327.5,2020-12-21T00:00:00
NO,rogaland,1724,356.5,2020-12-21T00:00:00
NO,vestfold og telemark,1766,399.1,2020-12-21T00:00:00
NO,innlandet,2426,625.5,2020-12-21T00:00:00
NO,vestland,5398,843.5,2020-12-21T00:00:00
NO,oslo,12657,1802.3,2020-12-21T00:00:00
NO,viken,14066,1110.4,2020-12-21T00:00:00
