country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,544,226.3,2020-12-01T00:00:00
NO,møre og romsdal,653,246.9,2020-12-01T00:00:00
NO,troms og finnmark,852,351,2020-12-01T00:00:00
NO,agder,1042,341.1,2020-12-01T00:00:00
NO,vestfold og telemark,1219,294,2020-12-01T00:00:00
NO,trøndelag,1223,261.4,2020-12-01T00:00:00
NO,rogaland,1551,325.1,2020-12-01T00:00:00
NO,innlandet,1733,472.3,2020-12-01T00:00:00
NO,vestland,5097,804.2,2020-12-01T00:00:00
NO,oslo,10755,1564.3,2020-12-01T00:00:00
NO,viken,10757,879.4,2020-12-01T00:00:00
