country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,609,250.4,2020-12-16T00:00:00
NO,møre og romsdal,748,280.9,2020-12-16T00:00:00
NO,troms og finnmark,911,372,2020-12-16T00:00:00
NO,agder,1128,364.2,2020-12-16T00:00:00
NO,trøndelag,1484,310.4,2020-12-16T00:00:00
NO,vestfold og telemark,1571,366.7,2020-12-16T00:00:00
NO,rogaland,1679,346.7,2020-12-16T00:00:00
NO,innlandet,2234,590,2020-12-16T00:00:00
NO,vestland,5337,834.8,2020-12-16T00:00:00
NO,oslo,12271,1753.4,2020-12-16T00:00:00
NO,viken,13425,1063,2020-12-16T00:00:00
