country,nuts_3,cases,cases/100k pop.,datetime
NO,møre og romsdal,207,80.7,2020-09-30T00:00:00
NO,nordland,210,87.9,2020-09-30T00:00:00
NO,troms og finnmark,339,139.7,2020-09-30T00:00:00
NO,vestfold og telemark,415,100.4,2020-09-30T00:00:00
NO,agder,482,158.8,2020-09-30T00:00:00
NO,innlandet,653,178.8,2020-09-30T00:00:00
NO,trøndelag,673,144.2,2020-09-30T00:00:00
NO,rogaland,699,147.5,2020-09-30T00:00:00
NO,vestland,1820,287.8,2020-09-30T00:00:00
NO,viken,3866,312.7,2020-09-30T00:00:00
NO,oslo,4423,645.1,2020-09-30T00:00:00
