country,nuts_3,cases,cases/100k pop.,datetime
NO,møre og romsdal,195,73.5,2020-09-17T00:00:00
NO,nordland,201,83.3,2020-09-17T00:00:00
NO,troms og finnmark,333,136.9,2020-09-17T00:00:00
NO,vestfold og telemark,388,91.6,2020-09-17T00:00:00
NO,agder,430,139.6,2020-09-17T00:00:00
NO,rogaland,598,123.8,2020-09-17T00:00:00
NO,innlandet,610,163.4,2020-09-17T00:00:00
NO,trøndelag,651,138.3,2020-09-17T00:00:00
NO,vestland,1582,245.1,2020-09-17T00:00:00
NO,viken,3583,286.9,2020-09-17T00:00:00
NO,oslo,3927,559.2,2020-09-17T00:00:00
