country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,642,264.9,2020-12-29T00:00:00
NO,møre og romsdal,854,320.5,2020-12-29T00:00:00
NO,troms og finnmark,990,402.8,2020-12-29T00:00:00
NO,agder,1193,386.4,2020-12-29T00:00:00
NO,rogaland,2088,419.7,2020-12-29T00:00:00
NO,vestfold og telemark,2104,491.7,2020-12-29T00:00:00
NO,trøndelag,2120,440.6,2020-12-29T00:00:00
NO,innlandet,2670,713.8,2020-12-29T00:00:00
NO,vestland,5596,876,2020-12-29T00:00:00
NO,oslo,13485,1925.8,2020-12-29T00:00:00
NO,viken,15359,1223.5,2020-12-29T00:00:00
