country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,177,73,2020-08-27T00:00:00
NO,møre og romsdal,179,66.7,2020-08-27T00:00:00
NO,troms og finnmark,322,131.5,2020-08-27T00:00:00
NO,vestfold og telemark,354,84.2,2020-08-27T00:00:00
NO,agder,392,127.3,2020-08-27T00:00:00
NO,rogaland,523,107.7,2020-08-27T00:00:00
NO,innlandet,556,149.4,2020-08-27T00:00:00
NO,trøndelag,623,132.5,2020-08-27T00:00:00
NO,vestland,1044,162.9,2020-08-27T00:00:00
NO,viken,2942,236.4,2020-08-27T00:00:00
NO,oslo,3392,486.2,2020-08-27T00:00:00
