country,nuts_3,cases,cases/100k pop.,datetime
NO,møre og romsdal,194,72.8,2020-09-14T00:00:00
NO,nordland,197,77.9,2020-09-14T00:00:00
NO,troms og finnmark,332,135.2,2020-09-14T00:00:00
NO,vestfold og telemark,383,90.1,2020-09-14T00:00:00
NO,agder,427,138,2020-09-14T00:00:00
NO,rogaland,578,119.6,2020-09-14T00:00:00
NO,innlandet,606,161.8,2020-09-14T00:00:00
NO,trøndelag,644,136.1,2020-09-14T00:00:00
NO,vestland,1472,215.1,2020-09-14T00:00:00
NO,viken,3532,278.7,2020-09-14T00:00:00
NO,oslo,3789,535.3,2020-09-14T00:00:00
