country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,585,242.5,2020-12-11T00:00:00
NO,møre og romsdal,726,273.7,2020-12-11T00:00:00
NO,troms og finnmark,881,362.1,2020-12-11T00:00:00
NO,agder,1099,357.7,2020-12-11T00:00:00
NO,trøndelag,1315,280.6,2020-12-11T00:00:00
NO,vestfold og telemark,1434,341.9,2020-12-11T00:00:00
NO,rogaland,1609,335.3,2020-12-11T00:00:00
NO,innlandet,1996,537.4,2020-12-11T00:00:00
NO,vestland,5265,827.1,2020-12-11T00:00:00
NO,oslo,11743,1693.3,2020-12-11T00:00:00
NO,viken,12443,1002.5,2020-12-11T00:00:00
