country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,131,54.3,2020-08-04T00:00:00
NO,møre og romsdal,160,61.1,2020-08-04T00:00:00
NO,troms og finnmark,261,119.6,2020-08-04T00:00:00
NO,vestfold og telemark,313,74.9,2020-08-04T00:00:00
NO,agder,354,115.2,2020-08-04T00:00:00
NO,rogaland,465,97.9,2020-08-04T00:00:00
NO,innlandet,519,140.6,2020-08-04T00:00:00
NO,trøndelag,557,119.1,2020-08-04T00:00:00
NO,vestland,927,146.3,2020-08-04T00:00:00
NO,viken,2583,208.9,2020-08-04T00:00:00
NO,oslo,2995,433.6,2020-08-04T00:00:00
