country,nuts_3,cases,cases/100k pop.,datetime
NO,møre og romsdal,201,75.8,2020-09-22T00:00:00
NO,nordland,206,85.8,2020-09-22T00:00:00
NO,troms og finnmark,335,137.7,2020-09-22T00:00:00
NO,vestfold og telemark,395,94.9,2020-09-22T00:00:00
NO,agder,445,143.9,2020-09-22T00:00:00
NO,rogaland,604,129.8,2020-09-22T00:00:00
NO,innlandet,623,168.6,2020-09-22T00:00:00
NO,trøndelag,656,140.4,2020-09-22T00:00:00
NO,vestland,1655,264.9,2020-09-22T00:00:00
NO,viken,3684,298.7,2020-09-22T00:00:00
NO,oslo,4091,593.5,2020-09-22T00:00:00
