country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,612,253.7,2020-12-18T00:00:00
NO,møre og romsdal,753,283.9,2020-12-18T00:00:00
NO,troms og finnmark,920,378.1,2020-12-18T00:00:00
NO,agder,1133,368.8,2020-12-18T00:00:00
NO,trøndelag,1507,321.5,2020-12-18T00:00:00
NO,vestfold og telemark,1625,387.5,2020-12-18T00:00:00
NO,rogaland,1697,353.6,2020-12-18T00:00:00
NO,innlandet,2277,613.1,2020-12-18T00:00:00
NO,vestland,5355,841.3,2020-12-18T00:00:00
NO,oslo,12380,1785.2,2020-12-18T00:00:00
NO,viken,13600,1095.7,2020-12-18T00:00:00
