country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,138,56.4,2020-08-07T00:00:00
NO,møre og romsdal,163,61.1,2020-08-07T00:00:00
NO,troms og finnmark,297,120.8,2020-08-07T00:00:00
NO,vestfold og telemark,318,75.1,2020-08-07T00:00:00
NO,agder,356,115.9,2020-08-07T00:00:00
NO,rogaland,476,98.8,2020-08-07T00:00:00
NO,innlandet,525,140.6,2020-08-07T00:00:00
NO,trøndelag,566,120.1,2020-08-07T00:00:00
NO,vestland,935,146.6,2020-08-07T00:00:00
NO,viken,2636,210.8,2020-08-07T00:00:00
NO,oslo,3057,437.8,2020-08-07T00:00:00
