country,nuts_3,cases,cases/100k pop.,datetime
NO,møre og romsdal,198,75.8,2020-09-21T00:00:00
NO,nordland,203,85.4,2020-09-21T00:00:00
NO,troms og finnmark,334,137.7,2020-09-21T00:00:00
NO,vestfold og telemark,391,94.2,2020-09-21T00:00:00
NO,agder,432,144.8,2020-09-21T00:00:00
NO,rogaland,598,125.9,2020-09-21T00:00:00
NO,innlandet,613,167.8,2020-09-21T00:00:00
NO,trøndelag,651,140,2020-09-21T00:00:00
NO,vestland,1607,260,2020-09-21T00:00:00
NO,viken,3629,296.8,2020-09-21T00:00:00
NO,oslo,3988,589.9,2020-09-21T00:00:00
